Year,shadow,avgtemp_feb,NEavgtemp_feb,MWavgtemp_feb,avgtemp_march,NEavgtemp_march,MWavgtemp_march
1895,,26.6,15.6,21.9,39.97,27.6,40.2
1896,,35.04,22.2,33.5,38.03,25.3,36.9
1897,,33.39,23.6,34.7,38.79,32,44
1898,1,35.37,24.8,33.3,41.05,38,46
1899,,25.5,18.1,22.2,37.63,29.3,38.4
1900,1,30.76,21.4,27.5,41.27,26,37.9
1901,1,29.86,16,26.2,40.71,30.8,41.9
1902,,31.46,20.1,23.6,41.58,37.1,43.9
1903,1,28.42,24.5,31.3,42.21,40.4,47.7
1904,1,31.59,15,28.2,41.76,29.8,42.8
1905,1,26.94,15.2,22.2,45.12,31.4,47.2
1906,1,33.69,22,30.7,36.1,25.7,33.9
1907,1,35.46,15.2,31.5,45.7,33.3,50.2
1908,1,33.01,18.4,31.2,43.92,32.7,47.1
1909,1,35.02,26.4,37.2,40.35,29.6,41.1
1910,1,29.3,20.6,28.5,49.44,37.8,51.9
1911,1,33.66,21.4,37.5,44.02,28.4,42.9
1912,1,31.08,18.6,25.8,35.76,27.7,35.2
1913,1,29.5,20.2,29.6,38.71,35.9,41.1
1914,1,29.52,14.5,26.3,40.75,29.6,39
1915,1,35.94,26.7,37.6,36.95,28.3,34.9
1916,1,33.03,18.9,30.1,42.15,24.2,40.2
1917,1,30.09,17.8,29.1,38.35,31.2,42.6
1918,1,33.82,19.8,34.1,45.75,32.9,48.2
1919,1,32.25,25.4,34.1,40.89,34.8,43.9
1920,1,33.69,19.6,31.5,40.28,32.7,42.9
1921,1,36.9,25.1,37.6,46.63,40.6,51.6
1922,1,31.95,24.2,35.7,40.42,33.8,44.1
1923,1,29.57,16.2,29.1,38.3,27.9,40.1
1924,1,35.19,18.3,31.7,37.18,31.3,37.5
1925,1,38.3,29.2,38.7,44.24,35.5,45
1926,1,37.67,20.5,36.3,39.65,25.9,36.3
1927,1,37.9,26.2,40.4,42.26,35.2,44.6
1928,1,34.34,22.6,34.2,43.12,30.2,42
1929,1,26.92,21.7,26.2,43.56,36.2,47.5
1930,1,40.1,26.1,41.4,40.41,31.7,40.8
1931,1,37.94,24.2,38,39.42,32.9,37.7
1932,1,36.7,25.7,41,37.36,28.1,36.3
1933,1,29.59,25.8,32.3,41.83,30.1,41.5
1934,0,34.32,10.4,27.2,42.78,29.2,38.8
1935,1,36.01,21.1,35,43.61,34.1,48.8
1936,1,25.23,15.6,24,43.43,37.4,46.1
1937,1,31.73,26.3,32.2,38.84,27.6,38.2
1938,1,36,26,40.2,45.01,35,49.6
1939,1,29.98,24.9,34,42.51,29.3,44.4
1940,1,33.85,22.3,31.9,41.52,27,39.4
1941,1,33.53,22,29.4,39.2,26.7,36.8
1942,2,30.74,20.1,29.7,41.31,35.7,44.1
1943,,36.28,23.9,35.4,38.5,30.5,38.5
1944,1,34.5,22.4,36.3,38.5,28.9,39.8
1945,1,35.28,23.6,33.9,45.54,41.6,51.9
1946,1,34.88,21.4,36.5,46.78,41.6,52.4
1947,1,31.41,20.5,25.7,38.75,29.7,34.8
1948,1,31.62,19.7,32.9,38.71,32.7,43.4
1949,1,31.91,28,36.3,40.77,33.5,42
1950,0,35.55,21.6,34.7,38.84,27.3,38.7
1951,1,34.54,26,33.6,38.55,33.4,40.4
1952,1,35.46,26.4,37.5,37.69,32,40.6
1953,1,35.87,28,37.4,43.75,34.8,44.5
1954,1,41.41,30,41.1,39.25,32.2,40.2
1955,1,31.05,24.2,33.4,40.06,32.3,43.1
1956,1,32.27,25.6,36.1,40.75,27.9,42.1
1957,1,38.07,27.3,38.6,41.27,33.6,41.5
1958,1,31.98,17.9,24.5,37.67,33.3,37.3
1959,1,32.49,20.6,33.7,41.45,30.6,41.4
1960,1,30.52,26.9,29.8,35.91,24.2,28.5
1961,1,37.42,24.6,37.3,43.47,32.6,45.1
1962,1,34.92,19.8,34.8,37.9,32.7,38.6
1963,1,34.12,16.2,26.3,43.72,33.1,46
1964,1,31.77,21.6,30.9,38.82,33.6,41.4
1965,1,32.52,22.1,31.8,35.44,30.2,35.1
1966,1,31.24,23.2,31.9,43,34.1,44.1
1967,1,32.88,18.2,29.1,43.63,29.1,45.6
1968,1,32.92,18.4,27.3,43.56,34.8,43.8
1969,1,32.81,23.7,33,36.03,30.1,36.2
1970,0,35.35,22.5,31.3,38.5,29.8,38.9
1971,1,33.48,23.9,31.8,39.65,29.9,38.9
1972,1,33.55,20.1,31.5,44.04,29.3,41.9
1973,1,33.58,21.8,32.7,44.29,39.2,49.6
1974,1,34.74,21.7,34.5,44.38,32.5,46.3
1975,0,32.76,24.7,33.5,38.7,30.4,38.6
1976,1,39.56,28.8,41.1,42.31,35.2,47.9
1977,1,36.03,23.2,31.5,43.18,38.4,47.4
1978,1,27.99,15.6,20.3,41.31,28.8,37.3
1979,1,28.13,13.9,22.9,42.06,37,43.7
1980,1,32.85,20,26.6,39.36,31,38.5
1981,1,36.59,30.3,34.1,42.85,33,41.7
1982,1,32.59,22.9,30.4,42.03,31.5,43.5
1983,0,36.86,26.2,35.9,42.4,35.7,43.5
1984,1,37.38,31.2,38.6,40.08,26.6,36.8
1985,1,30.87,24.8,28.4,43.48,34.5,46.3
1986,0,35.85,22.3,34.3,46.18,34.7,45
1987,1,37.38,21.8,36.9,42.57,35.5,45.8
1988,0,33.69,23.7,30.4,42.4,33.2,43
1989,1,29.17,23,28.6,42.67,31.8,44
1990,0,36.7,28,39.9,44.74,35.7,46.6
1991,1,39.81,28.7,37.4,43.32,36.1,46.1
1992,1,39.7,25.7,39.5,44.71,30,44
1993,1,31.14,17.5,30.5,41.79,29.8,39.5
1994,1,31.87,19.4,32.4,44.51,31.6,42.9
1995,0,37.36,20.6,32.6,43.34,36.2,45.6
1996,1,35.69,23.6,33.4,39.02,29.7,37.2
1997,0,36.05,28.6,37.7,44.67,32.1,45.8
1998,1,38.71,31.6,40.9,41.34,36.2,42.9
1999,0,39.49,28.2,39.5,42.8,33,39.8
2000,1,39.78,27.2,40.1,46.04,39.1,47.7
2001,1,33.98,26,36.1,41.49,30.2,39.3
2002,1,36.39,29.7,36.8,39.54,34.7,41.5
2003,1,32.79,20,30.2,43.3,32.9,44.8
2004,1,33.57,24,33.1,47.41,35.9,47
2005,1,37.94,26.2,38.1,42.31,29.7,40.8
2006,1,34.83,26.2,33.7,42.62,34,43.8
2007,0,32.41,18,26.1,47.66,32.7,50.1
2008,1,34.7,25.4,32.1,41.86,31.6,42
2009,1,36.77,26.2,35.9,42.87,34.1,45.7
2010,1,31.8,25.9,28.2,43.57,39.6,44.6
2011,0,33.04,24.1,34.4,43.07,33,44.2
2012,1,37.51,30.6,38.6,50.41,43.4,56.3
2013,0,34.77,25.3,33.4,40.91,32.7,37.3
2014,1,32.13,21,27.1,40.51,26,38
2015,1,32.99,12.1,23.4,45.39,27.8,41.6
2016,0,39.47,28.1,36.9,47.5,38.8,49.5